,salary_min,salary_max,currency,vacancy,link,source
96,45000.0,,руб.,Кассир-операционист (ст. м. Войковская),https://hh.ru/vacancy/52341741?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
97,,50000.0,руб.,Кассир-администратор,https://hh.ru/vacancy/52168370?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
98,46000.0,,руб.,Старший кассир Московского филиала Энерготрансбанка,https://hh.ru/vacancy/52827519?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
99,40000.0,50000.0,руб.,Кассир,https://hh.ru/vacancy/52398052?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
100,40057.0,50000.0,руб.,Кассир по обслуживанию БПА на Выхинский участок,https://hh.ru/vacancy/50886221?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
101,50000.0,,руб.,Администратор-кассир развлекательного комплекса,https://hh.ru/vacancy/52082837?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
102,55000.0,200000.0,руб.,Продавец-кассир (м.Теплый стан),https://hh.ru/vacancy/51776991?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
103,60000.0,70000.0,руб.,Продавец-кассир,https://hh.ru/vacancy/52425507?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
104,50000.0,80000.0,руб.,Кассир-администратор,https://hh.ru/vacancy/52966311?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
105,65000.0,75000.0,руб.,Продавец (м. Люблино),https://hh.ru/vacancy/52837989?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
106,55000.0,,руб.,Продавец-кассир,https://hh.ru/vacancy/39798090?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
107,45000.0,,руб.,"Продавец-кассир (ТРЦ ""Вива"")",https://hh.ru/vacancy/52394565?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
108,45000.0,55000.0,руб.,Продавец-кассир (товары для маникюра),https://hh.ru/vacancy/51731926?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
109,57000.0,73000.0,руб.,"Кассир-консультант магазина Levi's (в ТЦ ""Фестиваль"")",https://hh.ru/vacancy/52120576?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
110,60000.0,,руб.,Продавец-кассир,https://hh.ru/vacancy/52201385?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
111,50000.0,,руб.,Ночной кассир,https://hh.ru/vacancy/52553973?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
112,40000.0,55000.0,руб.,Кассир-продавец,https://hh.ru/vacancy/51793960?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
113,70000.0,100000.0,руб.,Продавец-консультант/продавец-кассир,https://hh.ru/vacancy/52532088?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
114,60000.0,,руб.,Администратор-кассир,https://hh.ru/vacancy/50585436?query=%D0%BA%D0%B0%D1%81%D1%81%D0%B8%D1%80,https://hh.ru
